yyyymmdd,jindices,jcount,party_list
19990419,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990420,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990421,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990422,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990423,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990424,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990425,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990426,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990427,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990428,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990429,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990430,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990501,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990502,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990503,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990504,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
